Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
10/12/2016;21:30 - 22:00;Réserve complémentaire;A la hausse;0;54,6
10/12/2016;21:30 - 22:00;Réserve complémentaire;A la baisse;168;24,1
10/12/2016;22:00 - 22:30;Réserve primaire;A la hausse;17;51
10/12/2016;22:00 - 22:30;Réserve primaire;A la baisse;0;51
10/12/2016;22:00 - 22:30;Réserve secondaire;A la hausse;0;51
10/12/2016;22:00 - 22:30;Réserve secondaire;A la baisse;219;51
10/12/2016;22:00 - 22:30;Réserve rapide;A la hausse;0;0
10/12/2016;22:00 - 22:30;Réserve rapide;A la baisse;316;42,1
10/12/2016;22:00 - 22:30;Réserve complémentaire;A la hausse;0;54,6
10/12/2016;22:00 - 22:30;Réserve complémentaire;A la baisse;0;24,1
10/12/2016;22:30 - 23:00;Réserve primaire;A la hausse;11;51
10/12/2016;22:30 - 23:00;Réserve primaire;A la baisse;0;51
10/12/2016;22:30 - 23:00;Réserve secondaire;A la hausse;172;51
10/12/2016;22:30 - 23:00;Réserve secondaire;A la baisse;0;51
10/12/2016;22:30 - 23:00;Réserve rapide;A la hausse;172;62,3
10/12/2016;22:30 - 23:00;Réserve rapide;A la baisse;36;45,2
10/12/2016;22:30 - 23:00;Réserve complémentaire;A la hausse;0;54,6
10/12/2016;22:30 - 23:00;Réserve complémentaire;A la baisse;17;47
10/12/2016;23:00 - 23:30;Réserve primaire;A la hausse;0;51,9
10/12/2016;23:00 - 23:30;Réserve primaire;A la baisse;0;51,9
10/12/2016;23:00 - 23:30;Réserve secondaire;A la hausse;0;51,9
10/12/2016;23:00 - 23:30;Réserve secondaire;A la baisse;113;51,9
10/12/2016;23:00 - 23:30;Réserve rapide;A la hausse;132;65
10/12/2016;23:00 - 23:30;Réserve rapide;A la baisse;0;53,2
10/12/2016;23:00 - 23:30;Réserve complémentaire;A la hausse;0;54,6
10/12/2016;23:00 - 23:30;Réserve complémentaire;A la baisse;0;47
10/12/2016;23:30 - 00:00;Réserve primaire;A la hausse;0;51,9
10/12/2016;23:30 - 00:00;Réserve primaire;A la baisse;44;51,9
10/12/2016;23:30 - 00:00;Réserve secondaire;A la hausse;0;51,9
10/12/2016;23:30 - 00:00;Réserve secondaire;A la baisse;262;51,9
10/12/2016;23:30 - 00:00;Réserve rapide;A la hausse;362;63,3
10/12/2016;23:30 - 00:00;Réserve rapide;A la baisse;0;53,2
10/12/2016;23:30 - 00:00;Réserve complémentaire;A la hausse;0;54,6
10/12/2016;23:30 - 00:00;Réserve complémentaire;A la baisse;0;47
11/12/2016;00:00 - 00:30;Réserve primaire;A la hausse;88;50
11/12/2016;00:00 - 00:30;Réserve primaire;A la baisse;12;50
11/12/2016;00:00 - 00:30;Réserve secondaire;A la hausse;88;50
11/12/2016;00:00 - 00:30;Réserve secondaire;A la baisse;93;50
11/12/2016;00:00 - 00:30;Réserve rapide;A la hausse;413;64,6
11/12/2016;00:00 - 00:30;Réserve rapide;A la baisse;65;42,1
11/12/2016;00:00 - 00:30;Réserve complémentaire;A la hausse;0;54,6
11/12/2016;00:00 - 00:30;Réserve complémentaire;A la baisse;0;47
11/12/2016;00:30 - 01:00;Réserve primaire;A la hausse;3;50
11/12/2016;00:30 - 01:00;Réserve primaire;A la baisse;116;50
11/12/2016;00:30 - 01:00;Réserve secondaire;A la hausse;0;50
11/12/2016;00:30 - 01:00;Réserve secondaire;A la baisse;262;50
11/12/2016;00:30 - 01:00;Réserve rapide;A la hausse;160;58
11/12/2016;00:30 - 01:00;Réserve rapide;A la baisse;0;48,9
11/12/2016;00:30 - 01:00;Réserve complémentaire;A la hausse;0;54,6
11/12/2016;00:30 - 01:00;Réserve complémentaire;A la baisse;0;47
11/12/2016;01:00 - 01:30;Réserve primaire;A la hausse;41;47,6
11/12/2016;01:00 - 01:30;Réserve primaire;A la baisse;16;47,6
11/12/2016;01:00 - 01:30;Réserve secondaire;A la hausse;136;47,6
11/12/2016;01:00 - 01:30;Réserve secondaire;A la baisse;49;47,6
11/12/2016;01:00 - 01:30;Réserve rapide;A la hausse;227;57,4
11/12/2016;01:00 - 01:30;Réserve rapide;A la baisse;0;48,9
11/12/2016;01:00 - 01:30;Réserve complémentaire;A la hausse;0;54,6
11/12/2016;01:00 - 01:30;Réserve complémentaire;A la baisse;0;47
11/12/2016;01:30 - 02:00;Réserve primaire;A la hausse;3;47,6
11/12/2016;01:30 - 02:00;Réserve primaire;A la baisse;59;47,6
11/12/2016;01:30 - 02:00;Réserve secondaire;A la hausse;235;47,6
11/12/2016;01:30 - 02:00;Réserve secondaire;A la baisse;20;47,6
11/12/2016;01:30 - 02:00;Réserve rapide;A la hausse;418;58,2
11/12/2016;01:30 - 02:00;Réserve rapide;A la baisse;0;48,9
11/12/2016;01:30 - 02:00;Réserve complémentaire;A la hausse;0;54,6
11/12/2016;01:30 - 02:00;Réserve complémentaire;A la baisse;0;47
11/12/2016;02:00 - 02:30;Réserve primaire;A la hausse;57;44,9
11/12/2016;02:00 - 02:30;Réserve primaire;A la baisse;19;44,9
11/12/2016;02:00 - 02:30;Réserve secondaire;A la hausse;246;44,9
11/12/2016;02:00 - 02:30;Réserve secondaire;A la baisse;5;44,9
11/12/2016;02:00 - 02:30;Réserve rapide;A la hausse;693;59,8
11/12/2016;02:00 - 02:30;Réserve rapide;A la baisse;0;48,9
11/12/2016;02:00 - 02:30;Réserve complémentaire;A la hausse;0;54,6
11/12/2016;02:00 - 02:30;Réserve complémentaire;A la baisse;0;47
11/12/2016;02:30 - 03:00;Réserve primaire;A la hausse;13;44,9
11/12/2016;02:30 - 03:00;Réserve primaire;A la baisse;36;44,9
11/12/2016;02:30 - 03:00;Réserve secondaire;A la hausse;88;44,9
11/12/2016;02:30 - 03:00;Réserve secondaire;A la baisse;74;44,9
11/12/2016;02:30 - 03:00;Réserve rapide;A la hausse;759;59,1
11/12/2016;02:30 - 03:00;Réserve rapide;A la baisse;0;48,9
11/12/2016;02:30 - 03:00;Réserve complémentaire;A la hausse;0;54,6
11/12/2016;02:30 - 03:00;Réserve complémentaire;A la baisse;0;47
11/12/2016;03:00 - 03:30;Réserve primaire;A la hausse;25;42,9
11/12/2016;03:00 - 03:30;Réserve primaire;A la baisse;29;42,9
11/12/2016;03:00 - 03:30;Réserve secondaire;A la hausse;15;42,9
11/12/2016;03:00 - 03:30;Réserve secondaire;A la baisse;78;42,9
11/12/2016;03:00 - 03:30;Réserve rapide;A la hausse;144;53,5
11/12/2016;03:00 - 03:30;Réserve rapide;A la baisse;0;48,9
11/12/2016;03:00 - 03:30;Réserve complémentaire;A la hausse;150;58,1
11/12/2016;03:00 - 03:30;Réserve complémentaire;A la baisse;0;47
11/12/2016;03:30 - 04:00;Réserve primaire;A la hausse;28;42,9
11/12/2016;03:30 - 04:00;Réserve primaire;A la baisse;14;42,9
11/12/2016;03:30 - 04:00;Réserve secondaire;A la hausse;4;42,9
11/12/2016;03:30 - 04:00;Réserve secondaire;A la baisse;64;42,9
11/12/2016;03:30 - 04:00;Réserve rapide;A la hausse;40;48,5
11/12/2016;03:30 - 04:00;Réserve rapide;A la baisse;0;48,9
11/12/2016;03:30 - 04:00;Réserve complémentaire;A la hausse;150;58,1
11/12/2016;03:30 - 04:00;Réserve complémentaire;A la baisse;0;47
11/12/2016;04:00 - 04:30;Réserve primaire;A la hausse;24;40,7
11/12/2016;04:00 - 04:30;Réserve primaire;A la baisse;16;40,7
11/12/2016;04:00 - 04:30;Réserve secondaire;A la hausse;115;40,7
11/12/2016;04:00 - 04:30;Réserve secondaire;A la baisse;2;40,7
11/12/2016;04:00 - 04:30;Réserve rapide;A la hausse;107;58
11/12/2016;04:00 - 04:30;Réserve rapide;A la baisse;254;42,3
11/12/2016;04:00 - 04:30;Réserve complémentaire;A la hausse;0;58,1
11/12/2016;04:00 - 04:30;Réserve complémentaire;A la baisse;0;47
11/12/2016;04:30 - 05:00;Réserve primaire;A la hausse;30;40,7
11/12/2016;04:30 - 05:00;Réserve primaire;A la baisse;15;40,7
11/12/2016;04:30 - 05:00;Réserve secondaire;A la hausse;265;40,7
11/12/2016;04:30 - 05:00;Réserve secondaire;A la baisse;0;40,7
11/12/2016;04:30 - 05:00;Réserve rapide;A la hausse;0;29,9
11/12/2016;04:30 - 05:00;Réserve rapide;A la baisse;345;42,2
11/12/2016;04:30 - 05:00;Réserve complémentaire;A la hausse;0;58,1
11/12/2016;04:30 - 05:00;Réserve complémentaire;A la baisse;0;42
11/12/2016;05:00 - 05:30;Réserve primaire;A la hausse;24;38,4
11/12/2016;05:00 - 05:30;Réserve primaire;A la baisse;11;38,4
11/12/2016;05:00 - 05:30;Réserve secondaire;A la hausse;262;38,4
11/12/2016;05:00 - 05:30;Réserve secondaire;A la baisse;0;38,4
11/12/2016;05:00 - 05:30;Réserve rapide;A la hausse;0;29,9
11/12/2016;05:00 - 05:30;Réserve rapide;A la baisse;272;42,2
11/12/2016;05:00 - 05:30;Réserve complémentaire;A la hausse;0;58,1
11/12/2016;05:00 - 05:30;Réserve complémentaire;A la baisse;0;42,1
11/12/2016;05:30 - 06:00;Réserve primaire;A la hausse;28;38,4
11/12/2016;05:30 - 06:00;Réserve primaire;A la baisse;15;38,4
11/12/2016;05:30 - 06:00;Réserve secondaire;A la hausse;316;38,4
11/12/2016;05:30 - 06:00;Réserve secondaire;A la baisse;0;38,4
11/12/2016;05:30 - 06:00;Réserve rapide;A la hausse;0;29,9
11/12/2016;05:30 - 06:00;Réserve rapide;A la baisse;236;42,2
11/12/2016;05:30 - 06:00;Réserve complémentaire;A la hausse;0;58,1
11/12/2016;05:30 - 06:00;Réserve complémentaire;A la baisse;0;42,1
11/12/2016;06:00 - 06:30;Réserve primaire;A la hausse;21;41,3
11/12/2016;06:00 - 06:30;Réserve primaire;A la baisse;22;41,3
11/12/2016;06:00 - 06:30;Réserve secondaire;A la hausse;193;41,3
11/12/2016;06:00 - 06:30;Réserve secondaire;A la baisse;0;41,3
11/12/2016;06:00 - 06:30;Réserve rapide;A la hausse;0;5,9
11/12/2016;06:00 - 06:30;Réserve rapide;A la baisse;33;44,8
11/12/2016;06:00 - 06:30;Réserve complémentaire;A la hausse;200;59,8
11/12/2016;06:00 - 06:30;Réserve complémentaire;A la baisse;0;44,8
11/12/2016;06:30 - 07:00;Réserve primaire;A la hausse;17;41,3
11/12/2016;06:30 - 07:00;Réserve primaire;A la baisse;22;41,3
11/12/2016;06:30 - 07:00;Réserve secondaire;A la hausse;122;41,3
11/12/2016;06:30 - 07:00;Réserve secondaire;A la baisse;0;41,3
11/12/2016;06:30 - 07:00;Réserve rapide;A la hausse;161;57,7
11/12/2016;06:30 - 07:00;Réserve rapide;A la baisse;0;41,3
11/12/2016;06:30 - 07:00;Réserve complémentaire;A la hausse;200;59,8
11/12/2016;06:30 - 07:00;Réserve complémentaire;A la baisse;0;41,3
11/12/2016;07:00 - 07:30;Réserve primaire;A la hausse;7;45,8
11/12/2016;07:00 - 07:30;Réserve primaire;A la baisse;47;45,8
11/12/2016;07:00 - 07:30;Réserve secondaire;A la hausse;41;45,8
11/12/2016;07:00 - 07:30;Réserve secondaire;A la baisse;27;45,8
11/12/2016;07:00 - 07:30;Réserve rapide;A la hausse;244;69,6
11/12/2016;07:00 - 07:30;Réserve rapide;A la baisse;0;45,8
11/12/2016;07:00 - 07:30;Réserve complémentaire;A la hausse;250;60,9
11/12/2016;07:00 - 07:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;07:30 - 08:00;Réserve primaire;A la hausse;18;45,8
11/12/2016;07:30 - 08:00;Réserve primaire;A la baisse;14;45,8
11/12/2016;07:30 - 08:00;Réserve secondaire;A la hausse;107;45,8
11/12/2016;07:30 - 08:00;Réserve secondaire;A la baisse;0;45,8
11/12/2016;07:30 - 08:00;Réserve rapide;A la hausse;80;58
11/12/2016;07:30 - 08:00;Réserve rapide;A la baisse;0;45,8
11/12/2016;07:30 - 08:00;Réserve complémentaire;A la hausse;250;60,9
11/12/2016;07:30 - 08:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;08:00 - 08:30;Réserve primaire;A la hausse;8;46,7
11/12/2016;08:00 - 08:30;Réserve primaire;A la baisse;37;46,7
11/12/2016;08:00 - 08:30;Réserve secondaire;A la hausse;122;46,7
11/12/2016;08:00 - 08:30;Réserve secondaire;A la baisse;0;46,7
11/12/2016;08:00 - 08:30;Réserve rapide;A la hausse;59;74,2
11/12/2016;08:00 - 08:30;Réserve rapide;A la baisse;0;46,7
11/12/2016;08:00 - 08:30;Réserve complémentaire;A la hausse;200;59,1
11/12/2016;08:00 - 08:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;08:30 - 09:00;Réserve primaire;A la hausse;9;46,7
11/12/2016;08:30 - 09:00;Réserve primaire;A la baisse;40;46,7
11/12/2016;08:30 - 09:00;Réserve secondaire;A la hausse;267;46,7
11/12/2016;08:30 - 09:00;Réserve secondaire;A la baisse;0;46,7
11/12/2016;08:30 - 09:00;Réserve rapide;A la hausse;60;49
11/12/2016;08:30 - 09:00;Réserve rapide;A la baisse;0;48,9
11/12/2016;08:30 - 09:00;Réserve complémentaire;A la hausse;200;59,1
11/12/2016;08:30 - 09:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;09:00 - 09:30;Réserve primaire;A la hausse;23;47,8
11/12/2016;09:00 - 09:30;Réserve primaire;A la baisse;24;47,8
11/12/2016;09:00 - 09:30;Réserve secondaire;A la hausse;54;47,8
11/12/2016;09:00 - 09:30;Réserve secondaire;A la baisse;10;47,8
11/12/2016;09:00 - 09:30;Réserve rapide;A la hausse;22;65
11/12/2016;09:00 - 09:30;Réserve rapide;A la baisse;67;44,6
11/12/2016;09:00 - 09:30;Réserve complémentaire;A la hausse;650;64,8
11/12/2016;09:00 - 09:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;09:30 - 10:00;Réserve primaire;A la hausse;21;47,8
11/12/2016;09:30 - 10:00;Réserve primaire;A la baisse;16;47,8
11/12/2016;09:30 - 10:00;Réserve secondaire;A la hausse;280;47,8
11/12/2016;09:30 - 10:00;Réserve secondaire;A la baisse;0;47,8
11/12/2016;09:30 - 10:00;Réserve rapide;A la hausse;0;5,9
11/12/2016;09:30 - 10:00;Réserve rapide;A la baisse;0;50,5
11/12/2016;09:30 - 10:00;Réserve complémentaire;A la hausse;650;64,8
11/12/2016;09:30 - 10:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;10:00 - 10:30;Réserve primaire;A la hausse;11;51,5
11/12/2016;10:00 - 10:30;Réserve primaire;A la baisse;36;51,5
11/12/2016;10:00 - 10:30;Réserve secondaire;A la hausse;168;51,5
11/12/2016;10:00 - 10:30;Réserve secondaire;A la baisse;0;51,5
11/12/2016;10:00 - 10:30;Réserve rapide;A la hausse;0;5,9
11/12/2016;10:00 - 10:30;Réserve rapide;A la baisse;0;51,5
11/12/2016;10:00 - 10:30;Réserve complémentaire;A la hausse;675;66,2
11/12/2016;10:00 - 10:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;10:30 - 11:00;Réserve primaire;A la hausse;29;51,5
11/12/2016;10:30 - 11:00;Réserve primaire;A la baisse;8;51,5
11/12/2016;10:30 - 11:00;Réserve secondaire;A la hausse;206;51,5
11/12/2016;10:30 - 11:00;Réserve secondaire;A la baisse;0;51,5
11/12/2016;10:30 - 11:00;Réserve rapide;A la hausse;0;5,9
11/12/2016;10:30 - 11:00;Réserve rapide;A la baisse;27;44,6
11/12/2016;10:30 - 11:00;Réserve complémentaire;A la hausse;675;66,2
11/12/2016;10:30 - 11:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;11:00 - 11:30;Réserve primaire;A la hausse;22;52,8
11/12/2016;11:00 - 11:30;Réserve primaire;A la baisse;28;52,8
11/12/2016;11:00 - 11:30;Réserve secondaire;A la hausse;124;52,8
11/12/2016;11:00 - 11:30;Réserve secondaire;A la baisse;0;52,8
11/12/2016;11:00 - 11:30;Réserve rapide;A la hausse;361;72,9
11/12/2016;11:00 - 11:30;Réserve rapide;A la baisse;0;54,7
11/12/2016;11:00 - 11:30;Réserve complémentaire;A la hausse;250;61,5
11/12/2016;11:00 - 11:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;11:30 - 12:00;Réserve primaire;A la hausse;17;52,8
11/12/2016;11:30 - 12:00;Réserve primaire;A la baisse;16;52,8
11/12/2016;11:30 - 12:00;Réserve secondaire;A la hausse;39;52,8
11/12/2016;11:30 - 12:00;Réserve secondaire;A la baisse;0;52,8
11/12/2016;11:30 - 12:00;Réserve rapide;A la hausse;342;73,1
11/12/2016;11:30 - 12:00;Réserve rapide;A la baisse;27;50
11/12/2016;11:30 - 12:00;Réserve complémentaire;A la hausse;250;61,5
11/12/2016;11:30 - 12:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;12:00 - 12:30;Réserve primaire;A la hausse;52;55,1
11/12/2016;12:00 - 12:30;Réserve primaire;A la baisse;8;55,1
11/12/2016;12:00 - 12:30;Réserve secondaire;A la hausse;6;55,1
11/12/2016;12:00 - 12:30;Réserve secondaire;A la baisse;179;55,1
11/12/2016;12:00 - 12:30;Réserve rapide;A la hausse;3;58,7
11/12/2016;12:00 - 12:30;Réserve rapide;A la baisse;0;53
11/12/2016;12:00 - 12:30;Réserve complémentaire;A la hausse;650;67,6
11/12/2016;12:00 - 12:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;12:30 - 13:00;Réserve primaire;A la hausse;26;55,1
11/12/2016;12:30 - 13:00;Réserve primaire;A la baisse;14;55,1
11/12/2016;12:30 - 13:00;Réserve secondaire;A la hausse;32;55,1
11/12/2016;12:30 - 13:00;Réserve secondaire;A la baisse;75;55,1
11/12/2016;12:30 - 13:00;Réserve rapide;A la hausse;52;58,7
11/12/2016;12:30 - 13:00;Réserve rapide;A la baisse;0;53
11/12/2016;12:30 - 13:00;Réserve complémentaire;A la hausse;650;67,6
11/12/2016;12:30 - 13:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;13:00 - 13:30;Réserve primaire;A la hausse;37;50
11/12/2016;13:00 - 13:30;Réserve primaire;A la baisse;23;50
11/12/2016;13:00 - 13:30;Réserve secondaire;A la hausse;155;50
11/12/2016;13:00 - 13:30;Réserve secondaire;A la baisse;17;50
11/12/2016;13:00 - 13:30;Réserve rapide;A la hausse;57;58,7
11/12/2016;13:00 - 13:30;Réserve rapide;A la baisse;0;52,7
11/12/2016;13:00 - 13:30;Réserve complémentaire;A la hausse;350;66,5
11/12/2016;13:00 - 13:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;13:30 - 14:00;Réserve primaire;A la hausse;21;50
11/12/2016;13:30 - 14:00;Réserve primaire;A la baisse;25;50
11/12/2016;13:30 - 14:00;Réserve secondaire;A la hausse;0;50
11/12/2016;13:30 - 14:00;Réserve secondaire;A la baisse;189;50
11/12/2016;13:30 - 14:00;Réserve rapide;A la hausse;57;58,7
11/12/2016;13:30 - 14:00;Réserve rapide;A la baisse;20;42
11/12/2016;13:30 - 14:00;Réserve complémentaire;A la hausse;350;66,5
11/12/2016;13:30 - 14:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;14:00 - 14:30;Réserve primaire;A la hausse;27;46,5
11/12/2016;14:00 - 14:30;Réserve primaire;A la baisse;17;46,5
11/12/2016;14:00 - 14:30;Réserve secondaire;A la hausse;46;46,5
11/12/2016;14:00 - 14:30;Réserve secondaire;A la baisse;45;46,5
11/12/2016;14:00 - 14:30;Réserve rapide;A la hausse;80;62,5
11/12/2016;14:00 - 14:30;Réserve rapide;A la baisse;0;52,1
11/12/2016;14:00 - 14:30;Réserve complémentaire;A la hausse;375;64,1
11/12/2016;14:00 - 14:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;14:30 - 15:00;Réserve primaire;A la hausse;54;46,5
11/12/2016;14:30 - 15:00;Réserve primaire;A la baisse;7;46,5
11/12/2016;14:30 - 15:00;Réserve secondaire;A la hausse;0;46,5
11/12/2016;14:30 - 15:00;Réserve secondaire;A la baisse;182;46,5
11/12/2016;14:30 - 15:00;Réserve rapide;A la hausse;48;58,7
11/12/2016;14:30 - 15:00;Réserve rapide;A la baisse;245;45,9
11/12/2016;14:30 - 15:00;Réserve complémentaire;A la hausse;375;64,1
11/12/2016;14:30 - 15:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;15:00 - 15:30;Réserve primaire;A la hausse;25;46,7
11/12/2016;15:00 - 15:30;Réserve primaire;A la baisse;16;46,7
11/12/2016;15:00 - 15:30;Réserve secondaire;A la hausse;115;46,7
11/12/2016;15:00 - 15:30;Réserve secondaire;A la baisse;10;46,7
11/12/2016;15:00 - 15:30;Réserve rapide;A la hausse;1;58,7
11/12/2016;15:00 - 15:30;Réserve rapide;A la baisse;122;45,9
11/12/2016;15:00 - 15:30;Réserve complémentaire;A la hausse;250;62,6
11/12/2016;15:00 - 15:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;15:30 - 16:00;Réserve primaire;A la hausse;36;46,7
11/12/2016;15:30 - 16:00;Réserve primaire;A la baisse;9;46,7
11/12/2016;15:30 - 16:00;Réserve secondaire;A la hausse;7;46,7
11/12/2016;15:30 - 16:00;Réserve secondaire;A la baisse;4;46,7
11/12/2016;15:30 - 16:00;Réserve rapide;A la hausse;0;25
11/12/2016;15:30 - 16:00;Réserve rapide;A la baisse;122;45,9
11/12/2016;15:30 - 16:00;Réserve complémentaire;A la hausse;250;62,6
11/12/2016;15:30 - 16:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;16:00 - 16:30;Réserve primaire;A la hausse;12;50
11/12/2016;16:00 - 16:30;Réserve primaire;A la baisse;41;50
11/12/2016;16:00 - 16:30;Réserve secondaire;A la hausse;115;50
11/12/2016;16:00 - 16:30;Réserve secondaire;A la baisse;0;50
11/12/2016;16:00 - 16:30;Réserve rapide;A la hausse;0;25
11/12/2016;16:00 - 16:30;Réserve rapide;A la baisse;262;45,9
11/12/2016;16:00 - 16:30;Réserve complémentaire;A la hausse;150;60,9
11/12/2016;16:00 - 16:30;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;16:30 - 17:00;Réserve primaire;A la hausse;65;50
11/12/2016;16:30 - 17:00;Réserve primaire;A la baisse;4;50
11/12/2016;16:30 - 17:00;Réserve secondaire;A la hausse;26;50
11/12/2016;16:30 - 17:00;Réserve secondaire;A la baisse;2;50
11/12/2016;16:30 - 17:00;Réserve rapide;A la hausse;27;58,7
11/12/2016;16:30 - 17:00;Réserve rapide;A la baisse;0;50
11/12/2016;16:30 - 17:00;Réserve complémentaire;A la hausse;150;60,9
11/12/2016;16:30 - 17:00;Réserve complémentaire;A la baisse;0;45,8
11/12/2016;17:00 - 17:30;Réserve primaire;A la hausse;24;63,1
11/12/2016;17:00 - 17:30;Réserve primaire;A la baisse;43;63,1
11/12/2016;17:00 - 17:30;Réserve secondaire;A la hausse;8;63,1
11/12/2016;17:00 - 17:30;Réserve secondaire;A la baisse;247;63,1
11/12/2016;17:00 - 17:30;Réserve rapide;A la hausse;307;72,1
11/12/2016;17:00 - 17:30;Réserve rapide;A la baisse;107;50
11/12/2016;17:00 - 17:30;Réserve complémentaire;A la hausse;150;73,5
11/12/2016;17:00 - 17:30;Réserve complémentaire;A la baisse;205;53
11/12/2016;17:30 - 18:00;Réserve primaire;A la hausse;23;63,1
11/12/2016;17:30 - 18:00;Réserve primaire;A la baisse;9;63,1
11/12/2016;17:30 - 18:00;Réserve secondaire;A la hausse;8;63,1
11/12/2016;17:30 - 18:00;Réserve secondaire;A la baisse;118;63,1
11/12/2016;17:30 - 18:00;Réserve rapide;A la hausse;307;72,1
11/12/2016;17:30 - 18:00;Réserve rapide;A la baisse;0;63,1
11/12/2016;17:30 - 18:00;Réserve complémentaire;A la hausse;150;73,5
11/12/2016;17:30 - 18:00;Réserve complémentaire;A la baisse;0;63,1
11/12/2016;18:00 - 18:30;Réserve primaire;A la hausse;17;68,4
11/12/2016;18:00 - 18:30;Réserve primaire;A la baisse;12;68,4
11/12/2016;18:00 - 18:30;Réserve secondaire;A la hausse;0;68,4
11/12/2016;18:00 - 18:30;Réserve secondaire;A la baisse;112;68,4
11/12/2016;18:00 - 18:30;Réserve rapide;A la hausse;70;73,9
11/12/2016;18:00 - 18:30;Réserve rapide;A la baisse;472;65,4
11/12/2016;18:00 - 18:30;Réserve complémentaire;A la hausse;100;73,5
11/12/2016;18:00 - 18:30;Réserve complémentaire;A la baisse;0;65,4
11/12/2016;18:30 - 19:00;Réserve primaire;A la hausse;26;68,4
11/12/2016;18:30 - 19:00;Réserve primaire;A la baisse;15;68,4
11/12/2016;18:30 - 19:00;Réserve secondaire;A la hausse;1;68,4
11/12/2016;18:30 - 19:00;Réserve secondaire;A la baisse;84;68,4
11/12/2016;18:30 - 19:00;Réserve rapide;A la hausse;57;73,9
11/12/2016;18:30 - 19:00;Réserve rapide;A la baisse;425;65,4
11/12/2016;18:30 - 19:00;Réserve complémentaire;A la hausse;100;73,5
11/12/2016;18:30 - 19:00;Réserve complémentaire;A la baisse;0;65,4
11/12/2016;19:00 - 19:30;Réserve primaire;A la hausse;22;70
11/12/2016;19:00 - 19:30;Réserve primaire;A la baisse;9;70
11/12/2016;19:00 - 19:30;Réserve secondaire;A la hausse;0;70
11/12/2016;19:00 - 19:30;Réserve secondaire;A la baisse;112;70
11/12/2016;19:00 - 19:30;Réserve rapide;A la hausse;21;73,9
11/12/2016;19:00 - 19:30;Réserve rapide;A la baisse;293;64,2
11/12/2016;19:00 - 19:30;Réserve complémentaire;A la hausse;0;73,5
11/12/2016;19:00 - 19:30;Réserve complémentaire;A la baisse;0;62,9
11/12/2016;19:30 - 20:00;Réserve primaire;A la hausse;15;70
11/12/2016;19:30 - 20:00;Réserve primaire;A la baisse;16;70
11/12/2016;19:30 - 20:00;Réserve secondaire;A la hausse;0;70
11/12/2016;19:30 - 20:00;Réserve secondaire;A la baisse;87;70
11/12/2016;19:30 - 20:00;Réserve rapide;A la hausse;0;35
11/12/2016;19:30 - 20:00;Réserve rapide;A la baisse;525;64,4
11/12/2016;19:30 - 20:00;Réserve complémentaire;A la hausse;0;73,5
11/12/2016;19:30 - 20:00;Réserve complémentaire;A la baisse;0;59,7
11/12/2016;20:00 - 20:30;Réserve primaire;A la hausse;27;67,9
11/12/2016;20:00 - 20:30;Réserve primaire;A la baisse;35;67,9
11/12/2016;20:00 - 20:30;Réserve secondaire;A la hausse;3;67,9
11/12/2016;20:00 - 20:30;Réserve secondaire;A la baisse;121;67,9
11/12/2016;20:00 - 20:30;Réserve rapide;A la hausse;0;30
11/12/2016;20:00 - 20:30;Réserve rapide;A la baisse;302;58,2
11/12/2016;20:00 - 20:30;Réserve complémentaire;A la hausse;0;73,5
11/12/2016;20:00 - 20:30;Réserve complémentaire;A la baisse;0;58
11/12/2016;20:30 - 21:00;Réserve primaire;A la hausse;11;67,9
11/12/2016;20:30 - 21:00;Réserve primaire;A la baisse;17;67,9
11/12/2016;20:30 - 21:00;Réserve secondaire;A la hausse;10;67,9
11/12/2016;20:30 - 21:00;Réserve secondaire;A la baisse;52;67,9
11/12/2016;20:30 - 21:00;Réserve rapide;A la hausse;0;30
11/12/2016;20:30 - 21:00;Réserve rapide;A la baisse;627;54,9
11/12/2016;20:30 - 21:00;Réserve complémentaire;A la hausse;0;73,5
11/12/2016;20:30 - 21:00;Réserve complémentaire;A la baisse;205;52,7
11/12/2016;21:00 - 21:30;Réserve primaire;A la hausse;47;59,6
11/12/2016;21:00 - 21:30;Réserve primaire;A la baisse;13;59,6
11/12/2016;21:00 - 21:30;Réserve secondaire;A la hausse;264;59,6
