Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;04:30 - 05:00;Réserve secondaire;A la hausse;0;45,9
06/12/2016;04:30 - 05:00;Réserve secondaire;A la baisse;1;45,9
06/12/2016;04:30 - 05:00;Réserve rapide;A la hausse;0;0
06/12/2016;04:30 - 05:00;Réserve rapide;A la baisse;0;80
06/12/2016;04:30 - 05:00;Réserve complémentaire;A la hausse;0;65,6
06/12/2016;04:30 - 05:00;Réserve complémentaire;A la baisse;0;24
06/12/2016;05:00 - 05:30;Réserve primaire;A la hausse;20;50,8
06/12/2016;05:00 - 05:30;Réserve primaire;A la baisse;0;50,8
06/12/2016;05:00 - 05:30;Réserve secondaire;A la hausse;0;50,8
06/12/2016;05:00 - 05:30;Réserve secondaire;A la baisse;275;50,8
06/12/2016;05:00 - 05:30;Réserve rapide;A la hausse;0;0
06/12/2016;05:00 - 05:30;Réserve rapide;A la baisse;0;80
06/12/2016;05:00 - 05:30;Réserve complémentaire;A la hausse;188;66,4
06/12/2016;05:00 - 05:30;Réserve complémentaire;A la baisse;0;24
06/12/2016;05:30 - 06:00;Réserve primaire;A la hausse;0;50,8
06/12/2016;05:30 - 06:00;Réserve primaire;A la baisse;16;50,8
06/12/2016;05:30 - 06:00;Réserve secondaire;A la hausse;263;50,8
06/12/2016;05:30 - 06:00;Réserve secondaire;A la baisse;0;50,8
06/12/2016;05:30 - 06:00;Réserve rapide;A la hausse;0;0
06/12/2016;05:30 - 06:00;Réserve rapide;A la baisse;267;49
06/12/2016;05:30 - 06:00;Réserve complémentaire;A la hausse;188;66,4
06/12/2016;05:30 - 06:00;Réserve complémentaire;A la baisse;308;48,9
06/12/2016;06:00 - 06:30;Réserve primaire;A la hausse;0;61,9
06/12/2016;06:00 - 06:30;Réserve primaire;A la baisse;10;61,9
06/12/2016;06:00 - 06:30;Réserve secondaire;A la hausse;0;61,9
06/12/2016;06:00 - 06:30;Réserve secondaire;A la baisse;161;61,9
06/12/2016;06:00 - 06:30;Réserve rapide;A la hausse;0;0
06/12/2016;06:00 - 06:30;Réserve rapide;A la baisse;183;66,9
06/12/2016;06:00 - 06:30;Réserve complémentaire;A la hausse;400;86,2
06/12/2016;06:00 - 06:30;Réserve complémentaire;A la baisse;308;49,9
06/12/2016;06:30 - 07:00;Réserve primaire;A la hausse;37;61,9
06/12/2016;06:30 - 07:00;Réserve primaire;A la baisse;0;61,9
06/12/2016;06:30 - 07:00;Réserve secondaire;A la hausse;198;61,9
06/12/2016;06:30 - 07:00;Réserve secondaire;A la baisse;0;61,9
06/12/2016;06:30 - 07:00;Réserve rapide;A la hausse;11;73,9
06/12/2016;06:30 - 07:00;Réserve rapide;A la baisse;357;67,3
06/12/2016;06:30 - 07:00;Réserve complémentaire;A la hausse;400;86,2
06/12/2016;06:30 - 07:00;Réserve complémentaire;A la baisse;0;66,9
06/12/2016;07:00 - 07:30;Réserve primaire;A la hausse;0;77,7
06/12/2016;07:00 - 07:30;Réserve primaire;A la baisse;8;77,7
06/12/2016;07:00 - 07:30;Réserve secondaire;A la hausse;6;77,7
06/12/2016;07:00 - 07:30;Réserve secondaire;A la baisse;0;77,7
06/12/2016;07:00 - 07:30;Réserve rapide;A la hausse;0;0
06/12/2016;07:00 - 07:30;Réserve rapide;A la baisse;261;67,8
06/12/2016;07:00 - 07:30;Réserve complémentaire;A la hausse;98;88
06/12/2016;07:00 - 07:30;Réserve complémentaire;A la baisse;0;66,9
06/12/2016;07:30 - 08:00;Réserve primaire;A la hausse;19;77,7
06/12/2016;07:30 - 08:00;Réserve primaire;A la baisse;0;77,7
06/12/2016;07:30 - 08:00;Réserve secondaire;A la hausse;174;77,7
06/12/2016;07:30 - 08:00;Réserve secondaire;A la baisse;0;77,7
06/12/2016;07:30 - 08:00;Réserve rapide;A la hausse;175;101,2
06/12/2016;07:30 - 08:00;Réserve rapide;A la baisse;0;77,7
06/12/2016;07:30 - 08:00;Réserve complémentaire;A la hausse;98;88
06/12/2016;07:30 - 08:00;Réserve complémentaire;A la baisse;0;77,7
06/12/2016;08:00 - 08:30;Réserve primaire;A la hausse;2;80,1
06/12/2016;08:00 - 08:30;Réserve primaire;A la baisse;0;80,1
06/12/2016;08:00 - 08:30;Réserve secondaire;A la hausse;259;80,1
06/12/2016;08:00 - 08:30;Réserve secondaire;A la baisse;0;80,1
06/12/2016;08:00 - 08:30;Réserve rapide;A la hausse;70;101,2
06/12/2016;08:00 - 08:30;Réserve rapide;A la baisse;0;80,1
06/12/2016;08:00 - 08:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;08:00 - 08:30;Réserve complémentaire;A la baisse;0;80,1
06/12/2016;08:30 - 09:00;Réserve primaire;A la hausse;3;80,1
06/12/2016;08:30 - 09:00;Réserve primaire;A la baisse;0;80,1
06/12/2016;08:30 - 09:00;Réserve secondaire;A la hausse;92;80,1
06/12/2016;08:30 - 09:00;Réserve secondaire;A la baisse;0;80,1
06/12/2016;08:30 - 09:00;Réserve rapide;A la hausse;70;101,2
06/12/2016;08:30 - 09:00;Réserve rapide;A la baisse;0;80,1
06/12/2016;08:30 - 09:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;08:30 - 09:00;Réserve complémentaire;A la baisse;0;80,1
06/12/2016;09:00 - 09:30;Réserve primaire;A la hausse;0;76
06/12/2016;09:00 - 09:30;Réserve primaire;A la baisse;4;76
06/12/2016;09:00 - 09:30;Réserve secondaire;A la hausse;159;76
06/12/2016;09:00 - 09:30;Réserve secondaire;A la baisse;0;76
06/12/2016;09:00 - 09:30;Réserve rapide;A la hausse;35;95
06/12/2016;09:00 - 09:30;Réserve rapide;A la baisse;0;76
06/12/2016;09:00 - 09:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;09:00 - 09:30;Réserve complémentaire;A la baisse;0;76
06/12/2016;09:30 - 10:00;Réserve primaire;A la hausse;0;76
06/12/2016;09:30 - 10:00;Réserve primaire;A la baisse;7;76
06/12/2016;09:30 - 10:00;Réserve secondaire;A la hausse;0;76
06/12/2016;09:30 - 10:00;Réserve secondaire;A la baisse;38;76
06/12/2016;09:30 - 10:00;Réserve rapide;A la hausse;0;0
06/12/2016;09:30 - 10:00;Réserve rapide;A la baisse;11;71,6
06/12/2016;09:30 - 10:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;09:30 - 10:00;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;10:00 - 10:30;Réserve primaire;A la hausse;15;70,3
06/12/2016;10:00 - 10:30;Réserve primaire;A la baisse;0;70,3
06/12/2016;10:00 - 10:30;Réserve secondaire;A la hausse;0;70,3
06/12/2016;10:00 - 10:30;Réserve secondaire;A la baisse;64;70,3
06/12/2016;10:00 - 10:30;Réserve rapide;A la hausse;0;0
06/12/2016;10:00 - 10:30;Réserve rapide;A la baisse;202;71,6
